time_window,avg_abs_power,avg_rel_power,sample_count,min_abs_power,max_abs_power,avg_abs_flow,total_flow_volume,start_time
"Row(start=Timestamp('2020-07-21 08:30:00'), end=Timestamp('2020-07-21 09:00:00'))",16721.610162659887,167.21610162659883,7,0.0,58540.16770844074,0.00015271725281702008,361987.8790237319,2020-07-21 08:30:00
"Row(start=Timestamp('2020-07-21 09:00:00'), end=Timestamp('2020-07-21 09:30:00'))",140481.03792148284,1404.810379214828,60,0.0,334386.94077263644,0.0012825629087684293,3102804.9239816424,2020-07-21 09:00:00
"Row(start=Timestamp('2020-07-21 09:30:00'), end=Timestamp('2020-07-21 10:00:00'))",131889.76815546156,1318.8976815546157,59,0.0,292874.595784387,0.0012041138729712848,3051212.7847607923,2020-07-21 09:30:00
"Row(start=Timestamp('2020-07-21 10:00:00'), end=Timestamp('2020-07-21 10:30:00'))",120088.65279616778,1200.8865279616773,60,0.0,297983.66151928337,0.001096532333645736,3103055.1571109276,2020-07-21 10:00:00
"Row(start=Timestamp('2020-07-21 10:30:00'), end=Timestamp('2020-07-21 11:00:00'))",116311.71776517555,1163.1171776517556,60,0.0,341146.76797540946,0.001061946367566587,3103181.7976934784,2020-07-21 10:30:00
"Row(start=Timestamp('2020-07-21 11:00:00'), end=Timestamp('2020-07-21 11:30:00'))",105046.68713350086,1050.4668713350088,59,0.0,323724.25789951306,0.0009589745140127585,3051589.6422324595,2020-07-21 11:00:00
"Row(start=Timestamp('2020-07-21 11:30:00'), end=Timestamp('2020-07-21 12:00:00'))",115893.91445991397,1158.9391445991396,60,0.0,306687.1572727133,0.001058016144148502,3103439.4981707986,2020-07-21 11:30:00
"Row(start=Timestamp('2020-07-21 12:00:00'), end=Timestamp('2020-07-21 12:30:00'))",126469.63426413169,1264.696342641317,60,0.0,318779.42267465027,0.0011544376253388557,3103565.679642025,2020-07-21 12:00:00
"Row(start=Timestamp('2020-07-21 12:30:00'), end=Timestamp('2020-07-21 13:00:00'))",141298.85027954786,1412.988502795478,59,0.0,323820.5152509173,0.001290712016081634,3051962.204657022,2020-07-21 12:30:00
"Row(start=Timestamp('2020-07-21 13:00:00'), end=Timestamp('2020-07-21 13:30:00'))",142463.74106828065,1582.9304563142293,60,0.0,313207.30691976764,0.0013161008152694218,3103813.786938886,2020-07-21 13:00:00
"Row(start=Timestamp('2020-07-21 13:30:00'), end=Timestamp('2020-07-21 14:00:00'))",138040.52862711437,1533.7836514123824,60,0.0,323926.15340082545,0.001285183057713819,3103941.317253661,2020-07-21 13:30:00
"Row(start=Timestamp('2020-07-21 14:00:00'), end=Timestamp('2020-07-21 14:30:00'))",133565.24143642592,1484.0582381825106,59,0.0,309879.4873619486,0.0012419506001148835,3052329.878120691,2020-07-21 14:00:00
