month,power,samples,days_with_data
2019-08,128516.46935763283,56263,20
2019-09,127204.1736024407,86009,30
2019-10,127975.28577579476,88876,31
2019-11,127635.81964628412,69889,25
2019-12,127762.43417613256,88778,31
2020-01,122326.65767851786,88770,31
2020-02,117302.18302509263,83048,29
2020-03,127630.71820300912,88779,31
2020-04,121489.5276671382,85913,30
2020-05,127566.60714223183,88777,31
2020-06,191310.95742394973,85913,30
2020-07,128761.96269478241,88777,31
2020-08,124953.14108942868,26057,11
